"Tiempo(seg)","Yaw(deg)","Pitch(deg)","Roll(deg)","Yaw_Rate(rad/s)","Velocidad_del_Cuerpo_Eje_X(m/s)","Velocidad_del_Cuerpo_Eje_Y(m/s)","Velocidad_del_Cuerpo_Eje_Z(m/s)","Velocidad_NED_Norte(m/s)","Velocidad_NED_Este(m/s)","Velocidad_NED_Down(m/s)","Fuerza_Motor_Izquierdo(kg)","Fuerza_Motor_Derecho(kg)","Lontigud(deg)","Latitud(deg)"
"1","26.226","3.204","2.029","-0.012662367272391","0.64015307298925","-0.27531979844153","-0.044893459133515","0.69039477855463","0.0078096101740939","-0.090306662277876","0.13249058499112","0.024198190108869","-72.19489988","-16.38856882"
"2","27.024","2.877","2.406","2.0130299174126","0.62990964127014","-0.24912682192509","-0.013891968148806","0.66881537968876","0.037218321319307","-0.055923899562082","0.58784541866239","0.13249058499112","-72.19489757","-16.38856452"
"3","29.27","3.382","1.694","4.002797748343","0.66814052601102","-0.28601351587995","-0.020317930306516","0.71515434907717","0.040405878468433","-0.068129420652573","1.3615603108761","0.32037299450896","-72.19489512","-16.38855997"
"4","33.882","3.32","1.575","6.2382498818254","0.72125021519484","-0.38388486749432","-0.0069159383823772","0.80163408378819","0.017909021136793","-0.059204682238273","2.4536352616321","0.58784541866239","-72.19489208","-16.38855544"
"5","40.725","3.317","2.043","8.6510897486803","0.78787046631241","-0.49862890783779","0.00088115007722061","0.90691716266012","0.015029764431905","-0.062453360055682","3.8640702709305","0.93490785745143","-72.19488804","-16.38855058"
"6","48.09","3.002","1.621","8.5025217924029","0.85866709098696","-0.59940848279584","0.031297791052728","1.0026284756557","0.03975953057279","-0.030659568062735","5.5928653387713","1.3615603108761","-72.19488327","-16.38854607"
"7","55.439","3.542","1.821","8.0986438426152","0.88469702128864","-0.70601284735671","0.070361158496918","1.0610388822631","0.024036187683365","-0.0068576480252318","6.9222620831887","1.6902119546234","-72.19487779","-16.38854199"
"8","62.282","3.677","1.615","7.5390932598904","0.88149796114319","-0.75759451456213","0.062493735659224","1.0592414963946","0.024518007780708","-0.015499246378679","6.9222620831887","1.6902119546234","-72.19487155","-16.38853847"
"9","68.952","3.392","1.802","7.5565111768624","0.89809199443469","-0.80536719274376","0.026128660778387","1.0574856820801","0.03289266512445","-0.052348341408477","6.9222620831887","1.6902119546234","-72.19486464","-16.38853588"
"10","75.439","2.994","1.688","6.7909249710086","0.91888096110144","-0.86778485135476","0.058863921328691","1.0601249514386","0.023175035331518","-0.014763712773959","6.9222620831887","1.6902119546234","-72.19485734","-16.38853368"
"11","81.859","2.91","1.814","7.0049247074899","0.92472114630867","-0.90476302468227","0.093381861418945","1.021793371997","0.013911109919224","0.017665833228274","6.9222620831887","1.6902119546234","-72.19485005","-16.38853237"
"12","88.009","3.082","1.752","6.5759512062755","0.93568501231912","-0.9225115266642","0.1297680022332","0.95598525889529","0.018337188019852","0.05104900045155","6.9222620831887","1.6902119546234","-72.19484242","-16.38853178"
"13","94.286","3.358","1.739","6.8560129765354","0.92691323346671","-0.90709361153168","0.1177738916933","0.84302540468251","0.023150236113096","0.035743989481664","6.9222620831887","1.6902119546234","-72.19483454","-16.38853204"
"14","100.385","2.945","1.496","7.1520602692795","0.92707956230061","-0.900379637833","0.095174248338831","0.72995951375399","0.015872485367911","0.02390998554775","6.9222620831887","1.6902119546234","-72.19482664","-16.38853303"
"15","106.766","3.025","1.71","6.3320430728883","0.92414732441083","-0.87527748147217","0.069273940032577","0.5872765677235","0.01273631494604","-0.0057047035676657","6.9222620831887","1.6902119546234","-72.19481879","-16.38853504"
"16","112.95","2.628","1.795","7.3892075006842","0.90691863640766","-0.81723947755376","0.08665271036249","0.41642372495289","0.021908612255151","0.019363910879512","6.9222620831887","1.6902119546234","-72.19481145","-16.38853774"
"17","119.579","3.176","1.859","7.3690966820751","0.81947206227024","-0.67450111694078","0.082156953486488","0.20300553512508","0.042687601687665","0.014738961852027","6.9222620831887","1.6902119546234","-72.19480481","-16.38854098"
"18","125.721","3.936","1.991","6.5330939631997","0.66363285874417","-0.48127214022561","0.0255840158434","0.021358780588329","0.058677440760293","-0.036726081940325","6.9222620831887","1.6902119546234","-72.19479827","-16.38854506"
"19","131.748","3.04","1.333","6.4156376151979","1.0630993067266","-0.7663413274885","0.025075711762061","-0.11376640920491","0.027660762503538","-0.049148241874318","6.9222620831887","1.6902119546234","-72.19479206","-16.38854994"
"20","137.829","2.805","1.688","6.8115514516333","0.92724000679106","-0.6137246501407","-0.0084151718683209","-0.26008068549721","0.0079752861161882","-0.071834486051231","6.9222620831887","1.6902119546234","-72.19478667","-16.38855524"
"21","143.512","3.436","2.156","6.7803825475782","0.95149674333746","-0.52514431998555","-0.033453232046469","-0.43886408991653","0.038058037973732","-0.11011669244239","6.9222620831887","1.6902119546234","-72.19478183","-16.38856103"
"22","149.148","3.473","1.763","6.6029375184261","0.95806980719049","-0.43161405054642","-0.038811005828392","-0.59086961221262","0.057157008650283","-0.11001385659628","6.9222620831887","1.6902119546234","-72.19477746","-16.38856717"
"23","155.104","3.433","1.435","6.5007218477748","0.94025564009939","-0.370793894351","-0.045333734141827","-0.68976633439858","0.0226927322476","-0.11081100400499","6.9222620831887","1.6902119546234","-72.19477356","-16.3885739"
"24","160.781","3.127","1.764","6.3078069581543","0.95286507424557","-0.30779274798633","-0.06317159516196","-0.79582211256024","0.002867930319841","-0.12448641971495","6.9222620831887","1.6902119546234","-72.1947706","-16.38858124"
"25","166.668","3.226","2.111","6.6383463101652","0.95666110331528","-0.19140234421383","-0.051451518348509","-0.88613374360432","0.026677781236368","-0.11221006211192","6.9222620831887","1.6902119546234","-72.19476849","-16.38858864"
"26","172.774","3.11","1.857","7.1407730007155","0.9588608123283","-0.079831591705791","-0.042381774900462","-0.94172025614068","0.039089818300208","-0.096901431882811","6.9222620831887","1.6902119546234","-72.19476705","-16.38859631"
"27","179.262","3.096","2.022","7.241900051556","0.95722043055064","0.0038527169676413","-0.058013291477191","-0.95895369693531","0.014068904921569","-0.10945542652066","6.9222620831887","1.6902119546234","-72.19476661","-16.38860397"
"28","-174.491","3.573","2.072","6.8086866626576","0.94906248992316","0.12644075615425","-0.059133239850948","-0.93341953167267","0.033375673462058","-0.11356285489564","6.9222620831887","1.6902119546234","-72.1947671","-16.38861164"
"29","-168.672","3.309","1.511","6.7375253045024","0.9425751354524","0.21115395862135","-0.059260467803205","-0.88190860786545","0.024967990224763","-0.10798872063733","6.9222620831887","1.6902119546234","-72.19476824","-16.38861918"
"30","-162.819","3.187","1.579","6.8493666661119","0.96379541279383","0.28049218241043","-0.067858290069645","-0.83518956126416","-0.0051037690706425","-0.1135927038276","6.9222620831887","1.6902119546234","-72.19477029","-16.38862682"
"31","-156.837","3.3","1.793","6.5057065805924","0.95107677915539","0.36189385985301","-0.055707967546096","-0.72540698465108","-0.012965343030907","-0.099031779940871","6.9222620831887","1.6902119546234","-72.19477326","-16.38863389"
"32","-150.944","3.235","1.999","6.3429292709958","0.9765729806838","0.46394610974238","-0.050410639906292","-0.617637811786","-0.01120577146982","-0.089251463193124","6.9222620831887","1.6902119546234","-72.19477682","-16.38864121"
"33","-145.133","3.3","1.588","6.4037200930592","0.97135677193817","0.54572716113451","-0.032488282375049","-0.47008499054455","-0.009932712025611","-0.07323889476822","6.9222620831887","1.6902119546234","-72.19478112","-16.38864771"
"34","-139.433","3.159","1.982","6.063784233208","0.97017699507858","0.63743914955621","-0.035537061092735","-0.30490267437865","0.0056557696419273","-0.066912728600439","6.9222620831887","1.6902119546234","-72.19478647","-16.38865389"
"35","-133.785","3.35","1.657","6.6170895759659","0.90115444216169","0.67051604862283","-0.013000510137074","-0.11930197543685","0.01909152787111","-0.046276467586931","6.9222620831887","1.6902119546234","-72.19479224","-16.38865952"
"36","-127.887","3.43","1.597","6.5872957706191","0.89775100556298","0.69678802334161","-0.0076939572397661","0.019472558295127","-0.012672711588686","-0.042004567069951","6.9222620831887","1.6902119546234","-72.1947987","-16.38866488"
"37","-122.213","3.14","1.956","6.1265804075544","1.0128716028485","0.85987732418421","-0.02360914252244","0.20921118721858","0.0017139095065662","-0.049735647502782","6.9222620831887","1.6902119546234","-72.19480559","-16.38866931"
"38","-116.55","3.387","1.873","6.2510268406568","1.0059229850908","0.91902669792509","-0.0033885290943985","0.394549959761","0.017202028796963","-0.032825431127584","6.9222620831887","1.6902119546234","-72.19481309","-16.38867309"
"39","-110.677","3.185","1.868","6.3571959200945","0.97623229692916","0.94479928260275","-0.0046717223071806","0.55668883546321","0.029488311852516","-0.028151576093387","6.9222620831887","1.6902119546234","-72.19482059","-16.38867594"
"40","-105.09","2.993","1.891","5.9784135217335","1.0145015003143","1.0152252486858","0.0042030070275185","0.72918099537986","0.033240325030397","-0.01532125001039","6.9222620831887","1.6902119546234","-72.19482877","-16.38867813"
"41","-99.585","3.233","1.853","5.7912855058438","1.0056468399967","1.030806821512","0.05213406001177","0.85707240723381","0.034128129873075","0.028587261626033","6.9222620831887","1.6902119546234","-72.19483704","-16.38867965"
"42","-94.35","3.348","1.787","5.8923552609049","1.0108079604501","1.0329447573234","0.030175569524041","0.95668811305715","0.020943658624746","0.0032342011704238","6.9222620831887","1.6902119546234","-72.19484544","-16.38868051"
"43","-89.071","3.289","1.951","5.535918216554","1.0152137693957","1.0239458744429","0.005455633676062","1.038507605309","0.0059428217648475","-0.017999111470308","6.9222620831887","1.6902119546234","-72.19485394","-16.38868073"
"44","-83.901","3.163","1.701","6.3157710715066","1.0042033466876","1.0221280059889","0.024363599707785","1.1156054438929","0.020045405605092","-0.00079858085379172","6.9222620831887","1.6902119546234","-72.19486248","-16.38868002"
"45","-78.212","2.998","1.539","6.3016190139668","0.99528121152606","1.0060066064249","0.047338438395024","1.175211314787","0.027244076003064","0.022184026986741","6.9222620831887","1.6902119546234","-72.19487045","-16.38867815"
"46","-72.356","3.243","2.092","6.5509702464078","0.98894517436455","0.95892241153369","0.032142424998806","1.1951371441085","0.011860136552954","0.011072748456579","6.9222620831887","1.6902119546234","-72.19487852","-16.38867617"
"47","-66.408","3.446","1.813","6.7985453096838","0.98526908034586","0.92137187117667","0.0079401573300105","1.2168186802349","0.015815791221079","-0.022203284162853","6.9222620831887","1.6902119546234","-72.19488601","-16.38867332"
"48","-59.974","3.444","1.954","7.8471153705527","0.94650661978831","0.82690446190146","-0.021191266282965","1.1680273799316","0.0069238147088384","-0.049855996034528","6.9222620831887","1.6902119546234","-72.19489312","-16.38866977"
"49","-52.985","3.116","1.756","7.9878911008164","0.93225557769486","0.74644749137151","-0.032001722804362","1.1384776612312","0.0026948259464226","-0.059774920038609","6.9222620831887","1.6902119546234","-72.1948998","-16.38866546"
"50","-45.842","3.156","2.044","8.0836323483827","0.94257400128626","0.68664182059066","-0.031778690918356","1.1310743568748","0.011043647515451","-0.059150186939334","6.9222620831887","1.6902119546234","-72.19490566","-16.38866037"
"51","-38.512","3.196","1.524","7.9370697443883","0.94922136270584","0.59395325793469","-0.027494238437947","1.0968206374978","0.0036571429918467","-0.064590542680909","6.9222620831887","1.6902119546234","-72.19491087","-16.38865476"
"52","-31.595","3.119","1.757","7.32262980489","0.9578037561547","0.50211213155301","-0.027156703017646","1.0670638414993","0.0011156169065782","-0.063845500078283","6.9222620831887","1.6902119546234","-72.19491513","-16.38864841"
"53","-25.166","3.079","1.898","7.073278572449","0.96048953302048","0.41229601086057","-0.018420548761428","1.0359251188403","0.0042846089943336","-0.056338822276669","6.9222620831887","1.6902119546234","-72.19491872","-16.38864164"
"54","-19.044","3.061","1.774","7.0137482575349","0.96115221574971","0.3235492295504","-0.039748914734631","1.0098500749129","0.011442741815391","-0.080995973914482","6.9222620831887","1.6902119546234","-72.19492161","-16.38863436"
"55","-12.929","3.174","1.929","6.4042357550748","0.96184321642659","0.23824762197369","-0.049004139269332","0.98943211213926","0.024986438690636","-0.094149618345712","6.9222620831887","1.6902119546234","-72.19492357","-16.38862693"
"56","-7.136","3.392","1.383","7.075398516291","0.95044384124122","0.1472459591623","-0.051483155246972","0.96181799778426","0.03066830478285","-0.10406525676005","6.9222620831887","1.6902119546234","-72.19492476","-16.38861931"
"57","-1.021","3.224","1.897","6.5554393172098","0.95649655040846","0.043767284098861","-0.037506714843295","0.95769667914162","0.027934849470396","-0.089773404973004","6.9222620831887","1.6902119546234","-72.194925","-16.38861143"
"58","4.668","3.228","1.72","6.1823292010206","0.96261935858825","-0.044891944539028","-0.070445742368642","0.96513053551583","0.035193517015862","-0.12585212802272","6.9222620831887","1.6902119546234","-72.19492462","-16.38860354"
"59","10.31","2.894","1.87","6.5211191452815","0.98467641849355","-0.13972678432152","-0.025303672033561","0.99240252020695","0.037075037444696","-0.079526364429748","6.9222620831887","1.6902119546234","-72.19492339","-16.3885956"
"60","15.907","3.126","1.491","5.8573475396224","1.0060095112437","-0.25475270836081","-0.020628356352011","1.0331184110401","0.021134912615089","-0.082069109670282","6.9222620831887","1.6902119546234","-72.19492149","-16.38858778"
"61","21.657","3.238","1.889","6.3284907345585","0.99815343572246","-0.35121177783754","-0.014448300087599","1.0495345876965","0.017219564730879","-0.082355393002236","6.9222620831887","1.6902119546234","-72.19491869","-16.38858032"
"62","26.923","3.257","1.788","5.8183864095535","0.98904933739288","-0.42278695080187","-0.0029250828811993","1.0621785299502","0.02487919609516","-0.072281786946167","6.9222620831887","1.6902119546234","-72.19491539","-16.38857312"
"63","32.58","3.098","1.583","6.4221120382829","0.98743140604856","-0.51348662720196","0.016652633490074","1.0941265822867","0.018075195442136","-0.050907111983358","6.9222620831887","1.6902119546234","-72.19491139","-16.38856627"
"64","38.251","3.137","2.105","6.0297505401773","1.0093036639276","-0.58810308474947","0.037744481403034","1.1388683467645","0.036563028096859","-0.039139464233818","6.9222620831887","1.6902119546234","-72.19490657","-16.38855995"
"65","43.57","3.465","1.603","6.5307448362397","1.0246879624104","-0.66998770320201","0.050335601894433","1.1812104345599","0.036758980457391","-0.03041495114003","6.9222620831887","1.6902119546234","-72.1949012","-16.38855393"
"66","49.02","3.196","1.893","6.146863113502","0.99842549185931","-0.74589114257841","0.069827102298139","1.1951409965822","0.0086406124516495","-0.010584323622891","6.9222620831887","1.6902119546234","-72.19489546","-16.38854845"
"67","54.29","3.054","1.891","6.6946680614266","0.97669453695175","-0.77768144883934","0.060008985826502","1.1804957049067","0.016106319552018","-0.017769975799949","6.9222620831887","1.6902119546234","-72.19488918","-16.38854364"
"68","60.345","3.183","1.907","6.6602332979392","0.95490833958487","-0.82381966005748","0.075992122620024","1.1676996786767","0.0075521993077195","-0.0045608555356268","6.9222620831887","1.6902119546234","-72.19488273","-16.38853947"
"69","66.121","3.206","1.84","6.2829405898456","0.95653944210919","-0.87770299844757","0.090121985219843","1.1712043300232","-0.00059064724173764","0.0083014042002812","6.9222620831887","1.6902119546234","-72.19487585","-16.38853581"
"70","72.377","3.309","1.629","6.7806690264757","0.93782310714791","-0.90077094692441","0.092550786821761","1.1274935038015","-0.0037014515837837","0.012663149866292","6.9222620831887","1.6902119546234","-72.19486853","-16.388533"
"71","78.585","3.479","1.858","7.0551158103434","0.92457069799482","-0.91003677406397","0.099198438990524","1.065463537195","0.00023568656670579","0.013406800662306","6.9222620831887","1.6902119546234","-72.19486106","-16.38853102"
"72","84.714","3.221","1.411","6.5585332893035","0.92646247854923","-0.93350674112364","0.10457427030962","1.0116838327986","-0.0063586317532967","0.029371389915574","6.9222620831887","1.6902119546234","-72.1948534","-16.38852992"
"73","90.564","3.277","1.972","6.8132703250187","0.93117649024427","-0.94278173851734","0.11787711894234","0.93767953081622","-0.0061544324902668","0.031996481611942","6.9222620831887","1.6902119546234","-72.19484555","-16.38852959"
"74","96.681","3.365","1.842","7.0549439230049","0.92250872516149","-0.90931205868538","0.12992098770654","0.80673147900998","0.01374139629358","0.046303855602016","6.9222620831887","1.6902119546234","-72.19483764","-16.38853003"
"75","102.824","3.161","1.504","7.1404865218179","0.91238782769669","-0.89802328949471","0.11887978406209","0.68833277846595","-0.0022571567558569","0.044812923811383","6.9222620831887","1.6902119546234","-72.19482998","-16.3885312"
"76","109.04","3.469","1.851","6.9906007626117","0.92722532358192","-0.87431669075379","0.07405632837682","0.54415642132708","0.0060312025641255","-0.010411994609939","6.9222620831887","1.6902119546234","-72.19482219","-16.38853346"
"77","115.096","3.993","1.905","7.267797743896","0.89145231857445","-0.79297912870339","0.060842737717475","0.3653813222945","0.017751319852238","-0.027710961068539","6.9222620831887","1.6902119546234","-72.19481499","-16.38853622"
"78","121.044","3.665","2.178","6.8068531977132","0.84836624304162","-0.7022977634434","0.055654088293617","0.18815014503254","0.027689175794959","-0.025365341117767","6.9222620831887","1.6902119546234","-72.19480794","-16.38853977"
"79","126.813","3.161","1.744","6.2067944988727","0.7608034455272","-0.57988639076064","0.0082757404432862","0.024670047079239","0.029170128422549","-0.051314126703185","6.9222620831887","1.6902119546234","-72.19480114","-16.38854416"
"80","132.585","3.225","1.977","5.8969962190455","1.0131931705541","-0.72650714804192","0.022415285642109","-0.12814972431402","0.02029486201917","-0.05965647481932","6.9222620831887","1.6902119546234","-72.19479492","-16.3885491"
"81","138.189","3.351","1.714","6.5537204438244","0.96180764724386","-0.61928414839367","-0.0015196392664138","-0.28508789842635","0.02135373582376","-0.076227980225726","6.9222620831887","1.6902119546234","-72.19478934","-16.38855447"
"82","143.864","3.195","1.7","6.0738109946228","0.95054066330473","-0.54766605957227","0.0056425896022525","-0.42877352006833","0.012878730055461","-0.063568390803154","6.9222620831887","1.6902119546234","-72.19478427","-16.38856047"
"83","149.48","3.318","1.722","6.1935591738052","0.94954185705847","-0.46728747054817","-0.010307526318249","-0.56825294583508","0.014130276631814","-0.079261334405252","6.9222620831887","1.6902119546234","-72.19477988","-16.3885669"
